"","lizard_id","position","species","sex","trt","clutch","egg_enclosure","age.start","date_end_training","date_first_trial","days_since_training","group","trial_associative","position_feeder_associative","FC_associative","notes_associative","reinforcement","trial_reversal","position_feeder_reversal","FC_reversal","reinfor_reversal","notes_reversal","blue_asso","temp","cort"
"33",1205,"B4","delicata","Male","A_28","CL320_22","E014_M",136,"31/3/2023","13/4/2023",13,"R_B",1,"L",0,"",1,1,"C",1,1,"",1,"Hot","Control"
"34",1303,"D2","delicata","Female","B_23","CL350_22","E014_M",113,"30/3/2023","13/4/2023",14,"R_B",1,"L",NA,"",0,1,"R",0,1,"",NA,"Cold","CORT"
"35",1580,"F2","guichenoti","Female","B_28","CL428_22","E015_F120",99,"20/3/2023","13/4/2023",24,"R_B",1,"R",NA,"",0,1,"L",0,1,"",NA,"Hot","CORT"
"36",1284,"B2","delicata","Male","B_28","CL345_22","E016_F120",129,"21/3/2023","13/4/2023",23,"B_R",1,"L",1,"",1,1,"C",0,1,"",1,"Hot","CORT"
"37",1373,"A2","guichenoti","Female","A_28","CL370_22","E016_F120",120,"24/3/2023","13/4/2023",20,"B_R",1,"C",0,"",0,1,"L",0,1,"",0,"Hot","Control"
"38",1371,"D3","guichenoti","Male","A_23","CL370_22","E016_F120",94,"27/3/2023","13/4/2023",17,"B_R",1,"R",NA,"",0,1,"C",0,1,"",NA,"Cold","Control"
"39",1609,"A4","guichenoti","Female","A_28","CL437_22","E016_F120",101,"25/3/2023","13/4/2023",19,"B_R",1,"C",NA,"",0,1,"C",0,1,"",NA,"Hot","Control"
"40",1233,"B2","delicata","Female","B_23","CL327_22","E016_M",115,"31/3/2023","13/4/2023",13,"B_R",1,"R",NA,"",0,1,"C",1,1,"",NA,"Cold","CORT"
"41",1230,"F1","delicata","Female","B_28","CL327_22","E016_M",132,"29/3/2023","13/4/2023",15,"B_R",1,"L",1,"",1,1,"C",1,1,"",1,"Hot","CORT"
"42",1328,"G2","delicata","Male","A_23","CL357_22","E016_M",108,"5/4/2023","13/4/2023",8,"R_B",1,"L",0,"",0,1,"L",0,1,"",1,"Cold","Control"
"43",1174,"E2","delicata","Male","A_23","CL313_22","E019_F120",132,"31/3/2023","13/4/2023",13,"R_B",1,"R",0,"",1,1,"C",0,1,"",1,"Cold","Control"
"44",1172,"E4","delicata","Male","B_28","CL313_22","E019_F120",148,"10/4/2023","13/4/2023",3,"R_B",1,"R",NA,"Wrong feeder",0,1,"C",1,1,"",NA,"Hot","CORT"
"45",1382,"A1","delicata","Female","B_28","CL373_22","E019_M",118,"1/4/2023","13/4/2023",12,"B_R",1,"L",NA,"",0,1,"R",0,1,"",NA,"Hot","CORT"
"46",1381,"A3","delicata","Male","A_28","CL373_22","E019_M",122,"30/3/2023","13/4/2023",14,"R_B",1,"C",NA,"",0,1,"R",0,0,"",NA,"Hot","Control"
"47",1240,"B2","delicata","Female","A_28","CL330_22","E020_F120",132,"30/3/2023","13/4/2023",14,"B_R",1,"L",NA,"",0,1,"L",0,1,"",NA,"Hot","Control"
"48",1619,"G4","delicata","Female","B_23","CL440_22","E020_F120",80,"7/4/2023","13/4/2023",6,"R_B",1,"R",0,"",1,1,"R",0,1,"",1,"Cold","CORT"
"49",2255,"E2","delicata","Female","B_28","CL607_22","E020_F120",66,"2/4/2023","13/4/2023",11,"B_R",1,"L",NA,"",0,1,"R",0,0,"",NA,"Hot","CORT"
"50",2486,"F3","delicata","Female","B_28","CL677_23","E020_M",45,"2/4/2023","13/4/2023",11,"B_R",1,"L",1,"",1,1,"L",0,0,"",1,"Hot","CORT"
"51",1454,"C4","delicata","Female","B_28","CL392_22","E021_M",115,"28/3/2023","13/4/2023",16,"R_B",1,"L",NA,"",0,1,"L",0,1,"",NA,"Hot","CORT"
"52",2346,"E4","delicata","Female","B_23","CL633_23","E021_M",41,"11/4/2023","13/4/2023",2,"B_R",1,"L",NA,"",0,1,"L",0,1,"",NA,"Cold","CORT"
"53",1218,"E3","guichenoti","Female","A_28","CL324_22","E026_F120",132,"21/3/2023","13/4/2023",23,"R_B",1,"R",0,"",0,1,"L",0,1,"",1,"Hot","Control"
"54",1182,"F3","delicata","Male","B_23","CL315_22","E027_F120",122,"29/3/2023","13/4/2023",15,"R_B",1,"C",0,"",0,1,"L",0,1,"",1,"Cold","CORT"
"55",2009,"G1","guichenoti","Male","A_28","CL542_22","E028_F120",78,"3/4/2023","13/4/2023",10,"B_R",1,"L",NA,"",0,1,"C",0,1,"",NA,"Hot","Control"
"56",1531,"D2","delicata","Male","A_23","CL414_22","E029_F120",85,"27/3/2023","13/4/2023",17,"B_R",1,"R",0,"",0,1,"R",0,1,"",0,"Cold","Control"
"57",1177,"D1","guichenoti","Male","A_23","CL314_22","E030_F120",125,"28/3/2023","13/4/2023",16,"R_B",1,"R",NA,"",0,1,"R",0,1,"",NA,"Cold","Control"
"58",1360,"G3","guichenoti","Female","A_28","CL366_22","E030_F120",120,"21/3/2023","13/4/2023",23,"R_B",1,"R",NA,"",0,1,"R",0,1,"",NA,"Hot","Control"
