"","Treatment","Mean","SE","Min","Max"
"1","Control-Cold",0.0623355032307316,0.000103355409737091,0.0294909667781233,0.10217338953887
"2","Control-Hot",0.0447373474859898,0.000104179976343666,0.0117491590717429,0.0835962322733049
"3","CORT-Cold",0.040266825669745,0.000102047442581178,0.00763589382028192,0.0767084207194164
"4","CORT-Hot",0.0567518223132236,0.000103916286517959,0.0235184878145688,0.0911825575177681
