"","Value","Treatment"
"CORT-Cold111",0.0391074713506376,"CORT-Cold"
"CORT-Cold112",0.0472386088620798,"CORT-Cold"
"CORT-Cold113",0.040225113203969,"CORT-Cold"
"CORT-Cold114",0.0394319670935487,"CORT-Cold"
"CORT-Cold115",0.0298294115382043,"CORT-Cold"
"CORT-Cold116",0.0434836024567265,"CORT-Cold"
"CORT-Cold117",0.0369576854324732,"CORT-Cold"
"CORT-Cold118",0.0418707603614609,"CORT-Cold"
"CORT-Cold119",0.0433374632715233,"CORT-Cold"
"CORT-Cold120",0.0409434414230596,"CORT-Cold"
"CORT-Cold121",0.0375503544517674,"CORT-Cold"
"CORT-Cold122",0.0482959068085385,"CORT-Cold"
"CORT-Cold123",0.0207565595847822,"CORT-Cold"
"CORT-Cold124",0.0570110952680999,"CORT-Cold"
"CORT-Cold125",0.0349046187838149,"CORT-Cold"
"CORT-Cold126",0.0274919092018773,"CORT-Cold"
"CORT-Cold127",0.0381903243812082,"CORT-Cold"
"CORT-Cold128",0.0403856953333453,"CORT-Cold"
"CORT-Cold129",0.0365432646535889,"CORT-Cold"
"CORT-Cold130",0.0431652995266574,"CORT-Cold"
"CORT-Cold131",0.0568767774235803,"CORT-Cold"
"CORT-Cold132",0.0340917807356378,"CORT-Cold"
"CORT-Cold133",0.048854788651687,"CORT-Cold"
"CORT-Cold134",0.0505454337192403,"CORT-Cold"
"CORT-Cold135",0.0498265823912237,"CORT-Cold"
"CORT-Cold136",0.041907607394097,"CORT-Cold"
"CORT-Cold137",0.0351599545480986,"CORT-Cold"
"CORT-Cold138",0.0390702265720155,"CORT-Cold"
"CORT-Cold139",0.028011710349461,"CORT-Cold"
"CORT-Cold140",0.0261543397347367,"CORT-Cold"
"CORT-Cold141",0.0273900144995424,"CORT-Cold"
"CORT-Cold142",0.0310716839559644,"CORT-Cold"
"CORT-Cold143",0.0364492126737139,"CORT-Cold"
"CORT-Cold144",0.0437842495518323,"CORT-Cold"
"CORT-Cold145",0.0439760995456223,"CORT-Cold"
"CORT-Cold146",0.0405506316149382,"CORT-Cold"
"CORT-Cold147",0.0279066709802636,"CORT-Cold"
"CORT-Cold148",0.040956471462924,"CORT-Cold"
"CORT-Cold149",0.0418594427466679,"CORT-Cold"
"CORT-Cold150",0.0499955837454919,"CORT-Cold"
"CORT-Cold151",0.0321959169604736,"CORT-Cold"
"CORT-Cold152",0.0497740508098676,"CORT-Cold"
"CORT-Cold153",0.0416983450118661,"CORT-Cold"
"CORT-Cold154",0.0394114564445265,"CORT-Cold"
"CORT-Cold155",0.0315226831169726,"CORT-Cold"
"CORT-Cold156",0.0468373450860182,"CORT-Cold"
"CORT-Cold157",0.0282702242052881,"CORT-Cold"
"CORT-Cold158",0.0352294628731065,"CORT-Cold"
"CORT-Cold159",0.0443423125843531,"CORT-Cold"
"CORT-Cold160",0.0317060857311902,"CORT-Cold"
"CORT-Cold161",0.0369983281093507,"CORT-Cold"
"CORT-Cold162",0.0230563374383282,"CORT-Cold"
"CORT-Cold163",0.0487653738430992,"CORT-Cold"
"CORT-Cold164",0.044619220466929,"CORT-Cold"
"CORT-Cold165",0.0353763098991934,"CORT-Cold"
"CORT-Cold166",0.0370057991775395,"CORT-Cold"
"CORT-Cold167",0.0413284290298521,"CORT-Cold"
"CORT-Cold168",0.0377144149966654,"CORT-Cold"
"CORT-Cold169",0.02705727516544,"CORT-Cold"
"CORT-Cold170",0.0276008525909019,"CORT-Cold"
"CORT-Cold171",0.0231163680222557,"CORT-Cold"
"CORT-Cold172",0.0413125090238748,"CORT-Cold"
"CORT-Cold173",0.0479941459917009,"CORT-Cold"
"CORT-Cold174",0.0328985436787509,"CORT-Cold"
"CORT-Cold175",0.0391008553454627,"CORT-Cold"
"CORT-Cold176",0.0262148786165277,"CORT-Cold"
"CORT-Cold177",0.0263524536220787,"CORT-Cold"
"CORT-Cold178",0.0446035180806945,"CORT-Cold"
"CORT-Cold179",0.0375184440223496,"CORT-Cold"
"CORT-Cold180",0.0357320536057829,"CORT-Cold"
"CORT-Cold181",0.0476655396973825,"CORT-Cold"
"CORT-Cold182",0.0251394176907319,"CORT-Cold"
"CORT-Cold183",0.0470289851686981,"CORT-Cold"
"CORT-Cold184",0.0300099718401072,"CORT-Cold"
"CORT-Cold185",0.0473815213996283,"CORT-Cold"
"CORT-Cold186",0.0453159962412496,"CORT-Cold"
"CORT-Cold187",0.0452151475453452,"CORT-Cold"
"CORT-Cold188",0.0436848955737636,"CORT-Cold"
"CORT-Cold189",0.0494107225094,"CORT-Cold"
"CORT-Cold190",0.0204409023847169,"CORT-Cold"
"CORT-Cold191",0.030101035050707,"CORT-Cold"
"CORT-Cold192",0.0467189789643011,"CORT-Cold"
"CORT-Cold193",0.0524817702885961,"CORT-Cold"
"CORT-Cold194",0.0381482365218702,"CORT-Cold"
"CORT-Cold195",0.0373890088143053,"CORT-Cold"
"CORT-Cold196",0.0323955926904897,"CORT-Cold"
"CORT-Cold197",0.0559739477954818,"CORT-Cold"
"CORT-Cold198",0.0372449133359732,"CORT-Cold"
"CORT-Cold199",0.0365278847181375,"CORT-Cold"
"CORT-Cold200",0.043761768744032,"CORT-Cold"
"CORT-Cold201",0.0415763480601416,"CORT-Cold"
"CORT-Cold202",0.0446500655895227,"CORT-Cold"
"CORT-Cold203",0.0416783608734539,"CORT-Cold"
"CORT-Cold204",0.029641850779408,"CORT-Cold"
"CORT-Cold205",0.0691887952178128,"CORT-Cold"
"CORT-Cold206",0.0380983351611069,"CORT-Cold"
"CORT-Cold207",0.0448132883372775,"CORT-Cold"
"CORT-Cold208",0.0477058284997795,"CORT-Cold"
"CORT-Cold209",0.0422213340418526,"CORT-Cold"
"CORT-Cold210",0.0325727965609628,"CORT-Cold"
"CORT-Cold211",0.0267865024098623,"CORT-Cold"
"CORT-Cold212",0.0319496965195265,"CORT-Cold"
"CORT-Cold213",0.0401055180708313,"CORT-Cold"
"CORT-Cold214",0.0496374121283075,"CORT-Cold"
"CORT-Cold215",0.0371121051003974,"CORT-Cold"
"CORT-Cold216",0.0351404954499804,"CORT-Cold"
"CORT-Cold217",0.0542579958480799,"CORT-Cold"
"CORT-Cold218",0.0457723629902327,"CORT-Cold"
"CORT-Cold219",0.0479179578844493,"CORT-Cold"
"CORT-Cold220",0.0434901021065356,"CORT-Cold"
"CORT-Cold221",0.0388570309987742,"CORT-Cold"
"CORT-Cold222",0.0446205189454869,"CORT-Cold"
"CORT-Cold223",0.0439255223602707,"CORT-Cold"
"CORT-Cold224",0.0468009262349557,"CORT-Cold"
"CORT-Cold225",0.0329484917947784,"CORT-Cold"
"CORT-Cold226",0.0176847508399006,"CORT-Cold"
"CORT-Cold227",0.0397084552252482,"CORT-Cold"
"CORT-Cold228",0.0371516652442748,"CORT-Cold"
"CORT-Cold229",0.0346334836942577,"CORT-Cold"
"CORT-Cold230",0.0409591538948265,"CORT-Cold"
"CORT-Cold231",0.0405647726637456,"CORT-Cold"
"CORT-Cold232",0.0230918502438977,"CORT-Cold"
"CORT-Cold233",0.032104437802499,"CORT-Cold"
"CORT-Cold234",0.0373999906682505,"CORT-Cold"
"CORT-Cold235",0.0376409095997103,"CORT-Cold"
"CORT-Cold236",0.049680781705403,"CORT-Cold"
"CORT-Cold237",0.0374725099650948,"CORT-Cold"
"CORT-Cold238",0.0275903284539763,"CORT-Cold"
"CORT-Cold239",0.0401587942295848,"CORT-Cold"
"CORT-Cold240",0.0378878413351738,"CORT-Cold"
"CORT-Cold241",0.0530893683264677,"CORT-Cold"
"CORT-Cold242",0.053928062925297,"CORT-Cold"
"CORT-Cold243",0.0403257630310679,"CORT-Cold"
"CORT-Cold244",0.0448792376163839,"CORT-Cold"
"CORT-Cold245",0.0415260980490457,"CORT-Cold"
"CORT-Cold246",0.0561059433118188,"CORT-Cold"
"CORT-Cold247",0.0490485271719176,"CORT-Cold"
"CORT-Cold248",0.0396642374639606,"CORT-Cold"
"CORT-Cold249",0.0456064804727281,"CORT-Cold"
"CORT-Cold250",0.035708478729986,"CORT-Cold"
"CORT-Cold251",0.0401541802219623,"CORT-Cold"
"CORT-Cold252",0.0452974841102532,"CORT-Cold"
"CORT-Cold253",0.0371864908003669,"CORT-Cold"
"CORT-Cold254",0.0440022521167345,"CORT-Cold"
"CORT-Cold255",0.0445196455450217,"CORT-Cold"
"CORT-Cold256",0.0414468488899545,"CORT-Cold"
"CORT-Cold257",0.0632125595967726,"CORT-Cold"
"CORT-Cold258",0.0166404970733113,"CORT-Cold"
"CORT-Cold259",0.0412120848092769,"CORT-Cold"
"CORT-Cold260",0.0577191521819482,"CORT-Cold"
"CORT-Cold261",0.0477465747604481,"CORT-Cold"
"CORT-Cold262",0.0347723938924317,"CORT-Cold"
"CORT-Cold263",0.0438657817446395,"CORT-Cold"
"CORT-Cold264",0.0451286407784207,"CORT-Cold"
"CORT-Cold265",0.0402082518138174,"CORT-Cold"
"CORT-Cold266",0.0237036112401296,"CORT-Cold"
"CORT-Cold267",0.0455878076711247,"CORT-Cold"
"CORT-Cold268",0.0498733004313198,"CORT-Cold"
"CORT-Cold269",0.0268411740687883,"CORT-Cold"
"CORT-Cold270",0.034541034798835,"CORT-Cold"
"CORT-Cold271",0.0351512056906121,"CORT-Cold"
"CORT-Cold272",0.0541726397029986,"CORT-Cold"
"CORT-Cold273",0.0438125450184299,"CORT-Cold"
"CORT-Cold274",0.0298030346842632,"CORT-Cold"
"CORT-Cold275",0.0414124942481716,"CORT-Cold"
"CORT-Cold276",0.0369236709661189,"CORT-Cold"
"CORT-Cold277",0.0288153720315597,"CORT-Cold"
"CORT-Cold278",0.0462911997190878,"CORT-Cold"
"CORT-Cold279",0.0440347260299107,"CORT-Cold"
"CORT-Cold280",0.0480744685307385,"CORT-Cold"
"CORT-Cold281",0.0288374547574167,"CORT-Cold"
"CORT-Cold282",0.030757994020775,"CORT-Cold"
"CORT-Cold283",0.0228685264404101,"CORT-Cold"
"CORT-Cold284",0.0348342087740492,"CORT-Cold"
"CORT-Cold285",0.0275310679470444,"CORT-Cold"
"CORT-Cold286",0.0424678761483055,"CORT-Cold"
"CORT-Cold287",0.0431224018619765,"CORT-Cold"
"CORT-Cold288",0.0367367371819799,"CORT-Cold"
"CORT-Cold289",0.036872922585045,"CORT-Cold"
"CORT-Cold290",0.0417772982403827,"CORT-Cold"
"CORT-Cold291",0.0453082813716308,"CORT-Cold"
"CORT-Cold292",0.0451471668593111,"CORT-Cold"
"CORT-Cold293",0.0354123760967266,"CORT-Cold"
"CORT-Cold294",0.039181113440381,"CORT-Cold"
"CORT-Cold295",0.0389423116883225,"CORT-Cold"
"CORT-Cold296",0.0343682407898023,"CORT-Cold"
"CORT-Cold297",0.0377721290503916,"CORT-Cold"
"CORT-Cold298",0.0374393702580499,"CORT-Cold"
"CORT-Cold299",0.0393729940606182,"CORT-Cold"
"CORT-Cold300",0.0390910092013949,"CORT-Cold"
"CORT-Cold301",0.0468324306706753,"CORT-Cold"
"CORT-Cold302",0.0572894883718314,"CORT-Cold"
"CORT-Cold303",0.0410714411191835,"CORT-Cold"
"CORT-Cold304",0.0493887819972816,"CORT-Cold"
"CORT-Cold305",0.024025391559964,"CORT-Cold"
"CORT-Cold306",0.0266081844782062,"CORT-Cold"
"CORT-Cold307",0.0463655505431817,"CORT-Cold"
"CORT-Cold308",0.0455027685393079,"CORT-Cold"
"CORT-Cold309",0.0203425189993635,"CORT-Cold"
"CORT-Cold310",0.0532241903534896,"CORT-Cold"
"CORT-Cold311",0.0320712914086756,"CORT-Cold"
"CORT-Cold312",0.0437041019261904,"CORT-Cold"
"CORT-Cold313",0.0427197843057087,"CORT-Cold"
"CORT-Cold314",0.0337799599671717,"CORT-Cold"
"CORT-Cold315",0.0472731990307746,"CORT-Cold"
"CORT-Cold316",0.0545684796064114,"CORT-Cold"
"CORT-Cold317",0.0470162832867565,"CORT-Cold"
"CORT-Cold318",0.0501826606150411,"CORT-Cold"
"CORT-Cold319",0.03386254031125,"CORT-Cold"
"CORT-Cold320",0.0422336537424333,"CORT-Cold"
"CORT-Cold321",0.0374984616034111,"CORT-Cold"
"CORT-Cold322",0.0353459480063861,"CORT-Cold"
"CORT-Cold323",0.0438950117236599,"CORT-Cold"
"CORT-Cold324",0.0474978509081507,"CORT-Cold"
"CORT-Cold325",0.0378209497352031,"CORT-Cold"
"CORT-Cold326",0.0360924627593356,"CORT-Cold"
"CORT-Cold327",0.0207075667575295,"CORT-Cold"
"CORT-Cold328",0.0239717857521605,"CORT-Cold"
"CORT-Cold329",0.0252852275678089,"CORT-Cold"
"CORT-Cold330",0.0559395484837283,"CORT-Cold"
"CORT-Cold331",0.0392703818275469,"CORT-Cold"
"CORT-Cold332",0.0493020312032554,"CORT-Cold"
"CORT-Cold333",0.0463213232557614,"CORT-Cold"
"CORT-Cold334",0.02661256991136,"CORT-Cold"
"CORT-Cold335",0.0255249404536748,"CORT-Cold"
"CORT-Cold336",0.0366989184998172,"CORT-Cold"
"CORT-Cold337",0.0468283399222799,"CORT-Cold"
"CORT-Cold338",0.0179804906535991,"CORT-Cold"
"CORT-Cold339",0.0172545518227192,"CORT-Cold"
"CORT-Cold340",0.0321311431856173,"CORT-Cold"
"CORT-Cold341",0.0331437054624193,"CORT-Cold"
"CORT-Cold342",0.0190545203983484,"CORT-Cold"
"CORT-Cold343",0.0445260895315997,"CORT-Cold"
"CORT-Cold344",0.0505996802720575,"CORT-Cold"
"CORT-Cold345",0.0377925877316226,"CORT-Cold"
"CORT-Cold346",0.0405164697976736,"CORT-Cold"
"CORT-Cold347",0.0467619611196209,"CORT-Cold"
"CORT-Cold348",0.0319455878517533,"CORT-Cold"
"CORT-Cold349",0.0430732010710518,"CORT-Cold"
"CORT-Cold350",0.0456485007010491,"CORT-Cold"
"CORT-Cold351",0.0360652391899801,"CORT-Cold"
"CORT-Cold352",0.0217564084621142,"CORT-Cold"
"CORT-Cold353",0.0614271964651668,"CORT-Cold"
"CORT-Cold354",0.0483200434482648,"CORT-Cold"
"CORT-Cold355",0.0467701357952556,"CORT-Cold"
"CORT-Cold356",0.0358294190946919,"CORT-Cold"
"CORT-Cold357",0.0507857271186973,"CORT-Cold"
"CORT-Cold358",0.0406283618245706,"CORT-Cold"
"CORT-Cold359",0.0341316165681352,"CORT-Cold"
"CORT-Cold360",0.0427209412293341,"CORT-Cold"
"CORT-Cold361",0.0453591881732166,"CORT-Cold"
"CORT-Cold362",0.0337759661955503,"CORT-Cold"
"CORT-Cold363",0.0331294398879779,"CORT-Cold"
"CORT-Cold364",0.0215487425698755,"CORT-Cold"
"CORT-Cold365",0.0357401978790335,"CORT-Cold"
"CORT-Cold366",0.0347412041398485,"CORT-Cold"
"CORT-Cold367",0.045635943263085,"CORT-Cold"
"CORT-Cold368",0.0377388472249814,"CORT-Cold"
"CORT-Cold369",0.0190746741287259,"CORT-Cold"
"CORT-Cold370",0.0369700455467098,"CORT-Cold"
"CORT-Cold371",0.0408012350555223,"CORT-Cold"
"CORT-Cold372",0.0392899012329972,"CORT-Cold"
"CORT-Cold373",0.042116146228932,"CORT-Cold"
"CORT-Cold374",0.0362898429659818,"CORT-Cold"
"CORT-Cold375",0.0235049713278264,"CORT-Cold"
"CORT-Cold376",0.0356528726499325,"CORT-Cold"
"CORT-Cold377",0.0374489605613113,"CORT-Cold"
"CORT-Cold378",0.0437866628543469,"CORT-Cold"
"CORT-Cold379",0.0404519418076548,"CORT-Cold"
"CORT-Cold380",0.0470674123145104,"CORT-Cold"
"CORT-Cold381",0.0446636749210931,"CORT-Cold"
"CORT-Cold382",0.0423450435366163,"CORT-Cold"
"CORT-Cold383",0.0463690490167569,"CORT-Cold"
"CORT-Cold384",0.0469555820837899,"CORT-Cold"
"CORT-Cold385",0.0388133190483125,"CORT-Cold"
"CORT-Cold386",0.0365379774895567,"CORT-Cold"
"CORT-Cold387",0.0351954992043643,"CORT-Cold"
"CORT-Cold388",0.0603714006078765,"CORT-Cold"
"CORT-Cold389",0.0541920739987777,"CORT-Cold"
"CORT-Cold390",0.0428753091400811,"CORT-Cold"
"CORT-Cold391",0.0479315100095737,"CORT-Cold"
"CORT-Cold392",0.0480100998234846,"CORT-Cold"
"CORT-Cold393",0.0409004580800331,"CORT-Cold"
"CORT-Cold394",0.0451711951473182,"CORT-Cold"
"CORT-Cold395",0.0336001090428697,"CORT-Cold"
"CORT-Cold396",0.0354983418232307,"CORT-Cold"
"CORT-Cold397",0.0605144077147328,"CORT-Cold"
"CORT-Cold398",0.0283144530125627,"CORT-Cold"
