"","Trial","Treatment","Mean_Predicted_prob","SE_Predicted_prob"
"69",18,"CORT-Cold",0.504519110780375,0.0356159108236305
"70",18,"CORT-Hot",0.424647441695712,0.0347379150485162
"71",18,"Control-Cold",0.527120391146133,0.0353694439895752
"72",18,"Control-Hot",0.444025796393708,0.0349335411085301
"73",19,"CORT-Cold",0.51453162457543,0.0353077978575636
"74",19,"CORT-Hot",0.438491640509793,0.0346020566399015
"75",19,"Control-Cold",0.542551401225216,0.035069146250932
"76",19,"Control-Hot",0.455035543709635,0.0347078319072589
"77",20,"CORT-Cold",0.524533130248475,0.0351144511976083
"78",20,"CORT-Hot",0.452437081211457,0.0345524921242747
"79",20,"Control-Cold",0.55790052006677,0.0348509110950625
"80",20,"Control-Hot",0.46609308285187,0.0345934143989918
"81",21,"CORT-Cold",0.53451444593936,0.0350374078152055
"82",21,"CORT-Hot",0.466460797066819,0.0345951385056
"83",21,"Control-Cold",0.573137385481267,0.0347138442926246
"84",21,"Control-Hot",0.477186353020673,0.0345951684805091
"85",22,"CORT-Cold",0.544466468940687,0.0350758009239667
"86",22,"CORT-Hot",0.480539261421296,0.0347331181094536
"87",22,"Control-Cold",0.588232565027446,0.0346540931825541
"88",22,"Control-Hot",0.488303120415641,0.0347152976100059
"89",23,"CORT-Cold",0.554380214009494,0.0352264001161267
"90",23,"CORT-Hot",0.494648557201468,0.0349665538108489
"91",23,"Control-Cold",0.603157792264963,0.0346651279443864
"92",23,"Control-Hot",0.49943103928826,0.0349531993116231
"93",24,"CORT-Cold",0.564246850535211,0.0354837849053015
"94",24,"CORT-Hot",0.508764552779976,0.035292553793217
"95",24,"Control-Cold",0.61788618155938,0.0347381768321788
"96",24,"Control-Hot",0.510557714273203,0.0353055085828663
"97",25,"CORT-Cold",0.574057738200708,0.0358406307479009
"98",25,"CORT-Hot",0.522863081265486,0.0357053856652219
"99",25,"Control-Cold",0.632392418025873,0.0348627648506064
"100",25,"Control-Hot",0.521670763254548,0.0357663065462088
"101",26,"CORT-Cold",0.583804460801198,0.0362880740580353
"102",26,"CORT-Hot",0.53692012017992,0.0361968147764918
"103",26,"Control-Cold",0.646652919991674,0.0350272985042768
"104",26,"Control-Hot",0.532757880011944,0.0363274646507597
"105",27,"CORT-Cold",0.59347885791954,0.0368161171805164
"106",27,"CORT-Hot",0.550911968479136,0.0367565628703502
"107",27,"Control-Cold",0.660645972198191,0.0352196425683636
"108",27,"Control-Hot",0.543806895897705,0.0369790800186444
"109",28,"CORT-Cold",0.603073054194955,0.0374140358761614
"110",28,"CORT-Hot",0.564815417961129,0.0373728343022964
"111",28,"Control-Cold",0.67435182881237,0.0354276456638464
"112",28,"Control-Hot",0.554805839818553,0.0377099526237397
"113",29,"CORT-Cold",0.612579485964273,0.0380707588613945
"114",29,"CORT-Hot",0.578607916282958,0.0380328581982336
"115",29,"Control-Cold",0.687752786136466,0.0356395859193361
"116",29,"Control-Hot",0.565742995834499,0.0385080591864437
"117",30,"CORT-Cold",0.621990925099297,0.0387751986810183
"118",30,"CORT-Hot",0.59226771906505,0.0387234036904943
"119",30,"Control-Cold",0.700833225663973,0.0358445225552125
"120",30,"Control-Hot",0.576606957740608,0.0393609889880138
"121",31,"CORT-Cold",0.631300499909603,0.0395165231424094
"122",31,"CORT-Hot",0.60577402888673,0.0394312380612185
"123",31,"Control-Cold",0.713579628801449,0.036032551372825
"124",31,"Control-Hot",0.587386680063236,0.0402563195380259
"125",32,"CORT-Cold",0.64050171302582,0.0402843649311393
"126",32,"CORT-Hot",0.619107119354511,0.040143510757743
"127",32,"Control-Cold",0.725980565142979,0.0361949707691538
"128",32,"Control-Hot",0.598071524978424,0.0411819220517813
"129",33,"CORT-Cold",0.649588456223168,0.0410689730358902
"130",33,"CORT-Hot",0.632248442837899,0.040848057436161
"131",33,"Control-Cold",0.738026656635117,0.0363243700106003
